Code;Name;Price
AUD;Австралийский доллар;"=""52.0546"""
AZN;Азербайджанский манат;"=""47.0720"""
DZD;Алжирских динаров;"=""0.6171"""
GBP;Фунт стерлингов;"=""108.4784"""
AMD;Армянских драмов;"=""0.2089"""
BHD;Бахрейнский динар;"=""212.7796"""
BYN;Белорусский рубль;"=""26.8938"""
BGN;Болгарский лев;"=""47.8294"""
BOB;Боливиано;"=""11.5807"""
BRL;Бразильский реал;"=""14.7938"""
HUF;Форинтов;"=""0.2365"""
VND;Донгов;"=""0.0032"""
HKD;Гонконгский доллар;"=""10.2501"""
GEL;Лари;"=""29.3520"""
DKK;Датская крона;"=""12.5342"""
AED;Дирхам ОАЭ;"=""21.7896"""
USD;Доллар США;"=""80.0224"""
EUR;Евро;"=""93.7094"""
EGP;Египетских фунтов;"=""1.6568"""
INR;Индийских рупий;"=""0.9147"""
IDR;Рупий;"=""0.0050"""
IRR;Иранских риалов;"=""0.0001"""
KZT;Тенге;"=""0.1487"""
CAD;Канадский доллар;"=""57.9620"""
QAR;Катарский риал;"=""21.9842"""
KGS;Сомов;"=""0.9152"""
CNY;Юань;"=""11.1072"""
CUP;Кубинских песо;"=""3.3343"""
MDL;Молдавских леев;"=""4.8001"""
MNT;Тугриков;"=""0.0223"""
NGN;Найр;"=""0.0521"""
NZD;Новозеландский доллар;"=""47.3893"""
NOK;Норвежских крон;"=""7.8469"""
OMR;Оманский риал;"=""208.1207"""
PLN;Злотый;"=""21.8987"""
SAR;Саудовский риял;"=""21.3393"""
RON;Румынский лей;"=""18.4677"""
XDR;СДР (специальные права заимствования);"=""109.6371"""
SGD;Сингапурский доллар;"=""62.3373"""
TJS;Сомони;"=""8.5611"""
THB;Батов;"=""2.4676"""
BDT;Так;"=""0.6582"""
TRY;Турецких лир;"=""1.9639"""
TMT;Новый туркменский манат;"=""22.8635"""
UZS;Узбекских сумов;"=""0.0064"""
UAH;Гривен;"=""1.9357"""
CZK;Чешских крон;"=""3.8213"""
SEK;Шведских крон;"=""8.3658"""
CHF;Швейцарский франк;"=""99.3820"""
ETB;Эфиопских быров;"=""0.5671"""
RSD;Сербских динаров;"=""0.7965"""
ZAR;Рэндов;"=""4.5618"""
KRW;Вон;"=""0.0576"""
JPY;Иен;"=""0.5422"""
MMK;Кьятов;"=""0.0381"""
